company,job_title,company_rating,location,salary_avg_estimate,company_size,company_founded,employment_type,industry,sector,revenue,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating
Food Memories,"Specialist, Data analytics",,Delhi,,Unknown,--,Company - Public,--,--,Unknown / Non-Applicable,,,,,
Synopsys,Data Analyst (License Compliance),4,Noida,"₹ 5,19,591",10000+ Employees,1986,Company - Public,Computer Hardware Development,Information Technology,$2 to $5 billion (USD),3.9,3.7,4.1,3.8,4
RP2,Data Science Intern,,Cochin,,,,,,,,,,,,
MRI Software,Data Engineer Level II,3.6,Bengaluru,"₹ 4,01,313",1001 to 5000 Employees,1971,Company - Private,Computer Hardware Development,Information Technology,$100 to $500 million (USD),3.6,3.4,3.8,3.4,3.9
RamSoft,Data Engineer,3.4,Bengaluru,"₹ 8,57,763",51 to 200 Employees,1994,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,3.1,3.6,3.2,3.1,3.7
Cashflo,Data Analyst,,Mumbai,"₹ 2,64,811",51 to 200 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,3.6,3.7,4.3,3.9,4.4
Merck KGaA Darmstadt Germany,Head of Data Science & AI,4,Bengaluru,,10000+ Employees,1668,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.5,3.8,3.9,3.4,3.9
Warner Bros. Discovery,Associate Data Engineer,3.6,Hyderābād,"₹ 5,56,230",10000+ Employees,2003,Company - Public,Film Production,Media & Communication,$10+ billion (USD),3.1,3.6,3.4,3,3.6
Sprinklr,Data quality Analyst,3.4,Gurgaon,"₹ 7,79,230",1001 to 5000 Employees,2009,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.3,3.8,3.1,3,2.8
JPMorgan Chase & Co,Reference Data Specialist - Digital Document Services,4,India,,10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD),4,3.9,3.9,3.6,3.7
IPRO INDIA,Data Analyst,,Chandigarh,,Unknown,--,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4,4,4,4,4
KPMG,Lighthouse Pyspark Data Engineer,3.8,Bengaluru,"₹ 5,91,608",10000+ Employees,1987,Company - Private,Business Consulting,Management & Consulting,$2 to $5 billion (USD),4,3.3,3.7,3.5,3
Princeton IT America,Data Visualisation,,Bengaluru,,,,,,,,,,,,
Sciera,Jr Data Scientist,,Chennai,"₹ 6,70,820",1 to 50 Employees,--,Company - Private,Accounting & Tax,Finance,Less than $1 million (USD),4.4,3.5,4.1,4.3,4.4
Arm,Data Platform Administrator,4.4,Bengaluru,"₹ 5,55,354",1001 to 5000 Employees,1990,Company - Public,Computer Hardware Development,Information Technology,$2 to $5 billion (USD),4.2,4.2,4.5,3.9,4.4
SIGMOID,Associate Data Scientist,4,Bengaluru,"₹ 8,61,070",501 to 1000 Employees,2013,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4,3.8,3.8,3.8,3.7
S&P Global,LNG Data Analyst,4.1,Gurgaon,"₹ 5,78,496",10000+ Employees,1860,Company - Public,Research & Development,Management & Consulting,$10+ billion (USD),3.8,3.8,4.2,3.8,4.2
Komodo Health,Research Data Analyst,3.5,Chennai,"₹ 4,76,943",501 to 1000 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.3,3.7,3.5,3.1,3.8
Criteo,"Data Analyst, Retail Media, India",4.2,Gurgaon,"₹ 9,10,165",1001 to 5000 Employees,2005,Company - Public,Internet & Web Services,Information Technology,$2 to $5 billion (USD),3.8,4.1,4.4,3.8,4.4
Macgence Technologies (OPC) PVT LTD,Internship (Data Annotation),4.8,Remote,"₹ 5,000",Unknown,--,Company - Public,--,--,Unknown / Non-Applicable,5,5,5,5,5
UST,Lead I - Data Science,4,Cochin,,10000+ Employees,1999,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.8,3.5,4,3.7,4
Helius Technologies,Data Analyst (KYC),4.2,India,,501 to 1000 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4,4,4.3,4.1,4.3
Truedge Software Solutions,"Technology head Data science, data analytics background",4.2,Hyderābād,,51 to 200 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,4.2,3.8,4.2,3.1,4
Boston Consulting Group,Data Analyst - X Delivery,4,Delhi,,10000+ Employees,1963,Company - Private,Business Consulting,Management & Consulting,$5 to $10 billion (USD),3.9,4,3.8,3.5,3.1
SAP,Data Scientist for 3rd Party Data Management,4.4,Bengaluru,"₹ 7,34,492",10000+ Employees,1972,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),4.1,4,4.4,3.9,4.3
Bolla Management India LLP,Data Analyst,3.5,Hyderābād,,Unknown,--,Company - Public,Convenience & Corner Stores,Retail & Wholesale,Unknown / Non-Applicable,,,,,
Scaler Academy,Assistant Manager :: Data Analyst,4,Bengaluru,"₹ 2,62,907",51 to 200 Employees,2019,Company - Private,Education Support & Training Services,Education,Unknown / Non-Applicable,3.9,4.3,3.8,3.5,3.6
BlackRock,"Analyst/Associate, Data Engineering- Gen AI",4,Gurgaon,,10000+ Employees,1988,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),3.9,3.7,3.9,3.6,3.6
Informatica,Member Data Science,3.9,Bengaluru,,5001 to 10000 Employees,1993,Company - Public,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),3.7,3.9,4,3.5,3.9
Creditas Solutions,Data Analyst,3.5,Gurgaon,"₹ 7,47,390",51 to 200 Employees,2015,Company - Private,Research & Development,Management & Consulting,Unknown / Non-Applicable,3.8,3.5,3.4,3.6,3.4
